time="2023-06-28T00:05:26+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:05:30+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:06:10+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:06:10+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:06:12+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:06:33+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:06:33+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:06:34+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:06:58+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:06:58+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:07:01+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:07:21+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:07:21+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:07:24+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:07:52+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:07:52+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:07:53+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:08:06+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:08:06+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
time="2023-06-28T00:08:10+03:00" level=info msg="End without problem8080" func="main.main()" file="Kanopy.go; 18"
time="2023-06-28T00:08:25+03:00" level=info msg="Start ConfigApp" func="Kanopy/pkg/Config.GetConfigApp.func1()" file="Config.go; 35"
time="2023-06-28T00:08:25+03:00" level=info msg="Start main application" func="main.main()" file="Kanopy.go; 15"
